Enersight Well name,Pad,Fault Block,Prod_name,,,,,
Well c-B84-A,c-84-A Pad,MFB,c-B84-A/94-B-8 - T2 - PnP - N,,,,,
Well c-B98-D,C-98-D Pad,EFB,c-B98-D/94-A-5 - T2 - PnP - S,,,,,
Well c-G98-D,C-98-D Pad,EFB,c-G98-D/94-A-05 - C4a - PnP - S,,,,,
Well c-H98-D,C-98-D Pad,EFB,c-H98-D/94-A-05 - C2 - PnP - S,,,,,
Well c-I98-D,C-98-D Pad,EFB,c-I98-D/94-A-05 - C4 - PnP - S,,,,,
Well c-K98-D,C-98-D Pad,EFB,c-K98-D/94-A-05 - C4a - PnP - S,,,,,
Well c-98-D,C-98-D Pad,EFB,c-98-D/94-A-5 - T3 - PnP - S,,,,,
Well c-A98-D,C-98-D Pad,EFB,c-A98-D/94-A-5 - T2 - PnP - S,,,,,
Well c-D98-D,C-98-D Pad,EFB,c-D98-D/94-A-05 - C4a - PnP - S,,,,,
Well c-E98-D,C-98-D Pad,EFB,c-E98-D/94-A-05 - C4 - PnP - S,,,,,
Well c-F98-D,C-98-D Pad,EFB,c-F98-D/94-A-05 - C2 - PnP - S,,,,,
Well c-C98-D,C-98-D Pad,EFB,c-C98-D/94-A-5 - T2 - PnP - S,,,,,
Well c-J98-D,C-98-D Pad,EFB,c-J98-D/94-A-05 - C2 - PnP - S,,,,,
Well c-L98-D,C-98-D Pad,EFB,c-L98-D/94-A-05 - C4 - PnP - S,,,,,
Well d-99-D,C-98-D Pad,EFB,d-99-D/94-A-05 - T2 - PnP - N,,,,,
Well d-A99-D,C-98-D Pad,EFB,d-A99-D/94-A-05 - T2 - PnP - N,,,,,
Well d-B99-D,C-98-D Pad,EFB,d-B99-D/94-A-05 - T3 - PnP - N,,,,,
Well c-N98-D,C-98-D Pad,EFB,c-N98-D/94-A-05 - T2 - PnP - N,,,,,
Well c-O98-D,C-98-D Pad,EFB,c-O98-D/94-A-05 - T3 - PnP - N,,,,,
Well c-P98-D,C-98-D Pad,EFB,c-P98-D/94-A-5 - C4a - PnP - N,,,,,
Well c-Q98-D,C-98-D Pad,EFB,c-Q98-D/94-A-5 - C2 - PnP - N,,,,,
Well c-R98-D,C-98-D Pad,EFB,c-R98-D/94-A-5 - C4 - PnP - N,,,,,
Well c-S98-D,C-98-D Pad,EFB,c-S98-D/94-A-5 - C4a - PnP - N,,,,,
Well c-T98-D,C-98-D Pad,EFB,c-T98-D/94-A-5 - C2 - PnP - N,,,,,
Well c-U98-D,C-98-D Pad,EFB,c-U98-D/94-A-5 - C4 - PnP - N,,,,,
Well c-W98-D,C-98-D Pad,EFB,c-W98-D/94-A-5 - C2 - PnP - N,,,,,
Well c-X98-D,C-98-D Pad,EFB,c-X98-D/94-A-5 - C4 - PnP - N,,,,,
Well c-V98-D,C-98-D Pad,EFB,c-V98-D/94-A-5 - C4a - PnP - N,,,,,
Well a-30-H,d-30-H,MFB,a-30-H/94-B-8 - C4 - PnP - N,,,,,
Well a-A30-H,d-30-H,MFB,a-A30-H/94-B-8 - C2 - PnP - N,,,,,
Well d-D30-H,d-30-H,MFB,d-D30-H/94-B-8 - C5 - PnP - N,,,,,
Well d-C30-H,d-30-H,MFB,d-C30-H/94-B-8 - C4 - PnP - N,,,,,
Well d-B30-H,d-30-H,MFB,d-B30-H/94-B-8 - C5 - PnP - N,,,,,
Well d-A30-H,d-30-H,MFB,d-A30-H/94-B-8 - C2 - PnP - N,,,,,
Well d-30-H,d-30-H,MFB,d-30-H/94-B-8 - C4 - PnP - N,,,,,
Well d-53-A,d-53-A Pad,MFB,d-53-A/94-B-8 - C4 - PnP - N,,,,,
Well d-63-A,d-63-A Pad,MFB,d-63-A/94-B-8 - T2 - NCS - S,,,,,
Well d-A63-A,d-63-A Pad,MFB,d-A63-A/94-B-8 - C4 - NCS - S,,,,,
Well d-A76-H,d-76-H Pad,NFB,d-A76-H/94-B-8 - T2 - NCS - S,,,,,
Well d-B76-H,d-76-H Pad,NFB,d-B76-H/94-B-8 - C2 - NCS - S,,,,,
Well d-F76-H,d-76-H Pad,NFB,d-F76-H/94-B-8 - C2 - PnP - N,,,,,
Well d-C76-H,d-76-H Pad,NFB,d-C76-H/94-B-8 - C4 - PnP - N,,,,,
Well d-D76-H,d-76-H Pad,NFB,d-D76-H/94-B-8 - C2 - PnP - N,,,,,
Well d-E76-H,d-76-H Pad,NFB,d-E76-H/94-B-8 - C4 - PnP - N,,,,,
Well b-17-I,Farrell,Farrell,,,,,,
Well c-18-I,Farrell,Farrell,,,,,,
Well c-A48-I,Farrell,Farrell,,,,,,
Well c-45-I,Farrell,Farrell,,,,,,
Well c-B18-I,Farrell,Farrell,,,,,,
