H HEADER INFORMATION -------------------------------------------,,,,,,,,,,,,,
H DIRECTIONAL COMPANY:,PACESETTER DIRECTIONAL DRILLING LTD.,,,,,,,,,,,,
H COMPANY :,Pacific Canbriam Energy Limited,,,,,,,,,,,,
H FIELD   :,Altares (NAD 27),,,,,,,,,,,,
H SITE    :,Padsite: 15-12-84-26 W6M,,,,,,,,,,,,
H WELL    :,Pacific Canbriam HZ Altares A15-12-084-26,,,,,,,,,,,,
H WELLPATH:,Job# 24-D1181 - Leg 2,,,,,,,,,,,,
H DEPTHUNT:,m,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H WELL INFORMATION,,,,,,,,,,,,,
H WELL EW MAP :,564387.02,,,,,,,,,,,,
H WELL NS MAP :,6236771.3,,,,,,,,,,,,
H KB ELEVN :,776.65,,,,,,,,,,,,
H GRD LVL :,770.4,,,,,,,,,,,,
H NORTH REF :,TRUE,,,,,,,,,,,,
H VSECT ANGLE :,104.6,,,,,,,,,,,,
H VSECT NORTH :,0,,,,,,,,,,,,
H VSECT EAST  :,0,,,,,,,,,,,,
H Grid Convergence at Surface is 0.865°.,,,,,,,,,,,,,
H TEXT FILE EXPORT DATE :,27-Oct-24,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H SURVEY TYPE INFORMATION,,,,,,,,,,,,,
H  6.25 - 1084.26 FINAL SURVEYS : MWD+IFR1+MS-ROUNDLAB,,,,,,,,,,,,,
H  1100.68 - 4368.00 SURVEYS : MWD+IFR1+MS-ROUNDLAB,,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H Survey List,,,,,,,,,,,,,
MD,Incl.,Azim.,TVD,Sub-Sea,NS,EW,VSEC,Dogleg,UTM(X),UTM(Y),Latitude,Longitude,Comment
1084.26,7.93,241.01,1083.75,-307.1,-10.04,-10.91,-8.03,2.2691,564376.27,6236761.11,56.27322,-121.960467,Tie-on L2 to L1
1099,6.33,227.82,1098.38,-321.73,-11.08,-12.4,-9.21,4.633,564374.79,6236760.04,56.273211,-121.960491,Stk L2 f/L1
1100.68,6.18,225.91,1100.05,-323.4,-11.2,-12.53,-9.31,4.633,564374.66,6236759.92,56.27321,-121.960493, 
1110.21,7.61,246.76,1109.51,-332.86,-11.81,-13.48,-10.07,9.0011,564373.72,6236759.3,56.273204,-121.960509, 
1119.68,9.09,251.07,1118.88,-342.23,-12.3,-14.77,-11.19,5.0873,564372.45,6236758.79,56.2732,-121.960529, 
1129.25,8.89,257.13,1128.33,-351.68,-12.71,-16.2,-12.48,3.0325,564371.02,6236758.36,56.273196,-121.960553, 
1138.87,8.99,269.13,1137.84,-361.19,-12.89,-17.68,-13.86,5.8133,564369.54,6236758.16,56.273195,-121.960576, 
1148.63,8.92,273.81,1147.48,-370.83,-12.85,-19.2,-15.34,2.2489,564368.03,6236758.17,56.273195,-121.960601, 
1158.18,9.05,273.42,1156.91,-380.26,-12.75,-20.69,-16.8,0.451,564366.54,6236758.24,56.273196,-121.960625, 
1167.73,8.91,265.12,1166.35,-389.7,-12.77,-22.17,-18.24,4.0899,564365.05,6236758.2,56.273196,-121.960649, 
1177.48,8.32,264.68,1175.98,-399.33,-12.9,-23.63,-19.61,1.8267,564363.6,6236758.05,56.273194,-121.960672, 
1187.04,7.46,264.98,1185.45,-408.8,-13.02,-24.93,-20.85,2.7018,564362.3,6236757.91,56.273193,-121.960694, 
1195.75,6.73,264.98,1194.1,-417.45,-13.11,-26.01,-21.86,2.5144,564361.23,6236757.8,56.273193,-121.960711, 
1205.48,5.99,261.24,1203.77,-427.12,-13.24,-27.08,-22.86,2.6137,564360.16,6236757.66,56.273191,-121.960728, 
1214.93,6.43,258,1213.16,-436.51,-13.43,-28.08,-23.79,1.7853,564359.16,6236757.46,56.27319,-121.960744, 
1234.43,7.1,259.5,1232.53,-455.88,-13.87,-30.33,-25.86,1.0659,564356.91,6236756.98,56.273186,-121.960781, 
1253.75,7.08,257.06,1251.7,-475.05,-14.36,-32.67,-27.99,0.4686,564354.59,6236756.46,56.273181,-121.960818, 
1272.97,5.25,258.58,1270.81,-494.16,-14.8,-34.68,-29.83,2.8675,564352.58,6236755.99,56.273177,-121.960851, 
1292.28,2.5,272.07,1290.07,-513.42,-14.96,-35.97,-31.04,4.472,564351.29,6236755.81,56.273176,-121.960872, 
1302.03,1.79,283.23,1299.81,-523.16,-14.91,-36.33,-31.4,2.5247,564350.93,6236755.85,56.273176,-121.960877, 
1311.78,0.89,303.56,1309.56,-532.91,-14.84,-36.54,-31.62,3.0899,564350.72,6236755.92,56.273177,-121.960881, 
1319,0.84,113.04,1316.78,-540.13,-14.83,-36.54,-31.62,7.1581,564350.72,6236755.93,56.273177,-121.960881, 
1321.53,1.44,115.31,1319.31,-542.66,-14.85,-36.5,-31.57,7.1334,564350.77,6236755.91,56.273177,-121.96088, 
1331.08,4.51,123.47,1328.85,-552.2,-15.11,-36.07,-31.1,9.711,564351.19,6236755.66,56.273175,-121.960873, 
1340.83,7.79,121.37,1338.54,-561.89,-15.66,-35.19,-30.1,10.1143,564352.08,6236755.12,56.27317,-121.960859, 
1346.77,9.5,121.91,1344.41,-567.76,-16.13,-34.43,-29.25,8.6518,564352.85,6236754.66,56.273165,-121.960847,Interp 9.5deg Inc Pt
1350.41,10.55,122.16,1348,-571.35,-16.47,-33.89,-28.65,8.6518,564353.39,6236754.33,56.273162,-121.960838, 
1360.14,12.63,124.37,1357.53,-580.88,-17.54,-32.26,-26.8,6.5565,564355.04,6236753.28,56.273153,-121.960812, 
1367.81,14,125.32,1364.99,-588.34,-18.55,-30.81,-25.14,5.4269,564356.5,6236752.3,56.273144,-121.960788,Interp 14deg Inc Pt
1369.71,14.34,125.53,1366.83,-590.18,-18.82,-30.43,-24.7,5.4269,564356.89,6236752.03,56.273141,-121.960782, 
1379.29,15.53,127.55,1376.09,-599.44,-20.29,-28.45,-22.41,4.067,564358.89,6236750.59,56.273128,-121.96075, 
1388.81,16.68,129.23,1385.24,-608.59,-21.93,-26.38,-20,3.9098,564360.98,6236748.98,56.273113,-121.960717, 
1398.36,18.1,130.68,1394.35,-617.7,-23.77,-24.19,-17.42,4.6635,564363.2,6236747.18,56.273097,-121.960682, 
1407.93,20.18,132.56,1403.39,-626.74,-25.85,-21.85,-14.63,6.7999,564365.57,6236745.13,56.273078,-121.960644, 
1417.48,22.91,134,1412.27,-635.62,-28.26,-19.3,-11.55,8.7347,564368.16,6236742.77,56.273057,-121.960603, 
1427.31,24.96,135.1,1421.26,-644.61,-31.06,-16.46,-8.1,6.4026,564371.04,6236740.01,56.273031,-121.960557, 
1436.87,27.12,136.02,1429.84,-653.19,-34.05,-13.52,-4.5,6.8955,564374.02,6236737.06,56.273004,-121.960509, 
1446.49,28.21,136.52,1438.36,-661.71,-37.28,-10.43,-0.7,3.4754,564377.15,6236733.88,56.272976,-121.960459, 
1455.91,31.76,135.93,1446.52,-669.87,-40.68,-7.18,3.31,11.3445,564380.46,6236730.54,56.272945,-121.960407, 
1465.46,35.17,134.39,1454.49,-677.84,-44.41,-3.46,7.85,11.0384,564384.23,6236726.86,56.272911,-121.960347, 
1475.21,38.14,135.13,1462.31,-685.66,-48.51,0.67,12.88,9.2389,564388.42,6236722.83,56.272875,-121.96028, 
1484.97,40.6,136.14,1469.85,-693.2,-52.94,5,18.18,7.8135,564392.81,6236718.47,56.272835,-121.96021, 
1494.71,43.16,136.37,1477.11,-700.46,-57.63,9.49,23.72,7.8992,564397.38,6236713.84,56.272793,-121.960138, 
1504.46,44.91,137.59,1484.11,-707.46,-62.59,14.11,29.44,5.9833,564402.07,6236708.96,56.272748,-121.960063, 
1514.13,45.71,136.23,1490.92,-714.27,-67.61,18.81,35.25,3.8931,564406.84,6236704.01,56.272703,-121.959987, 
1523.88,45.58,135.37,1497.73,-721.08,-72.61,23.67,41.21,1.9339,564411.78,6236699.09,56.272658,-121.959909, 
1533.44,45.78,133.17,1504.41,-727.76,-77.38,28.57,47.15,4.9788,564416.74,6236694.39,56.272615,-121.95983, 
1543.02,46.03,133.14,1511.08,-734.43,-82.08,33.59,53.2,0.7858,564421.83,6236689.76,56.272573,-121.959749, 
1552.58,45.89,134.03,1517.72,-741.07,-86.82,38.57,59.21,2.0552,564426.88,6236685.1,56.272531,-121.959669, 
1562.14,47.19,133.86,1524.3,-747.65,-91.64,43.56,65.26,4.0978,564431.95,6236680.37,56.272487,-121.959588, 
1571.76,49.08,134.33,1530.72,-754.07,-96.62,48.71,71.49,5.9942,564437.16,6236675.46,56.272443,-121.959505, 
1581.28,50.95,133.99,1536.84,-760.19,-101.7,53.94,77.84,5.9497,564442.47,6236670.46,56.272397,-121.95942, 
1591.03,52.28,134.28,1542.89,-766.24,-107.03,59.42,84.49,4.1516,564448.03,6236665.22,56.272349,-121.959332, 
1600.58,53.31,133.61,1548.66,-772.01,-112.3,64.9,91.12,3.644,564453.59,6236660.03,56.272302,-121.959244, 
1610.14,54.81,133.59,1554.28,-777.63,-117.64,70.51,97.89,4.7074,564459.27,6236654.78,56.272254,-121.959153, 
1619.69,55.15,132.62,1559.76,-783.11,-122.99,76.22,104.76,2.7144,564465.06,6236649.52,56.272206,-121.959061, 
1629.24,55.25,131.09,1565.21,-788.56,-128.22,82.06,111.73,3.9591,564470.97,6236644.38,56.272159,-121.958967, 
1638.81,56.81,130.95,1570.55,-793.9,-133.43,88.04,118.84,4.9038,564477.04,6236639.27,56.272112,-121.95887, 
1648.38,58.54,132.41,1575.67,-799.02,-138.81,94.08,126.04,6.6608,564483.16,6236633.98,56.272064,-121.958772, 
1657.96,59.9,133.29,1580.57,-803.92,-144.4,100.12,133.29,4.8727,564489.27,6236628.48,56.272013,-121.958675, 
1667.72,61.86,133.44,1585.32,-808.67,-150.26,106.32,140.76,6.038,564495.55,6236622.72,56.271961,-121.958575, 
1677.47,63.88,132.55,1589.77,-813.12,-156.17,112.66,148.4,6.676,564501.99,6236616.9,56.271908,-121.958473, 
1687.22,66.22,132.8,1593.88,-817.23,-162.17,119.16,156.2,7.2337,564508.57,6236611.01,56.271854,-121.958368, 
1696.77,68.36,132.9,1597.57,-820.92,-168.16,125.62,163.96,6.7288,564515.12,6236605.12,56.2718,-121.958264, 
1706.3,70.35,132.79,1600.93,-824.28,-174.22,132.16,171.81,6.2728,564521.75,6236599.16,56.271746,-121.958158, 
1716.06,71.87,133.69,1604.09,-827.44,-180.55,138.88,179.92,5.3553,564528.56,6236592.94,56.271689,-121.958049, 
1725.82,73.29,133.51,1607.01,-830.36,-186.97,145.63,188.06,4.3966,564535.4,6236586.62,56.271631,-121.957941, 
1735.39,74.71,134.24,1609.65,-833,-193.34,152.26,196.09,4.9652,564542.13,6236580.35,56.271574,-121.957834, 
1744.94,76.08,134.41,1612.06,-835.41,-199.8,158.87,204.11,4.3346,564548.83,6236573.99,56.271516,-121.957727, 
1754.49,77.73,134.19,1614.22,-837.57,-206.3,165.53,212.19,5.2268,564555.58,6236567.6,56.271458,-121.957619, 
